coordinates,retweeted,source,entities,reply_count,favorite_count,geo,id_str,timestamp_ms,truncated,text,retweet_count,id,possibly_sensitive,filter_level,created_at,place,favorited,lang,in_reply_to_screen_name,is_quote_status,in_reply_to_user_id_str,user,quote_count
,false,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","{hashtags=[], urls=[{url=https://t.co/yDwKPeC3wk, expanded_url=https://twitter.com/i/web/status/1032597339905581056, display_url=twitter.com/i/web/status/1…, indices=[117, 140]}]}",0,0,,1.03259733990558E+018,1535025365221,true,@HUL_News @Stateofthings2 @relianceindltd @drreddys @CiplaNutrition @SunPharma_Live Eastern is already in the foref… https://t.co/yDwKPeC3wk,0,1.03259733990558E+018,,low,Thu Aug 23 11:56:05 +0000 2018,,false,en,HUL_News,false,1703704490,"{id=446897392, id_str=446897392, name=Eastern Condiments, screen_name=eastern_in, location=Cochin, India, url=http://eastern.in, description=Eastern is the undisputed leaders in  the manufacturing and marketing of spice powders, including masala mixes, breakfast staples and a host of other products., translator_type=none, protected=false, verified=false, followers_count=6076, friends_count=174, listed_count=47, favourites_count=19355, statuses_count=8381, created_at=Mon Dec 26 08:22:14 +0000 2011, utc_offset=null, time_zone=null, geo_enabled=true, lang=en, contributors_enabled=false, is_translator=false, profile_background_color=C0DEED, profile_background_image_url=http://abs.twimg.com/images/themes/theme1/bg.png, profile_background_image_url_https=https://abs.twimg.com/images/themes/theme1/bg.png, profile_background_tile=true, profile_link_color=1B95E0, profile_sidebar_border_color=C0DEED, profile_sidebar_fill_color=DDEEF6, profile_text_color=333333, profile_use_background_image=true, profile_image_url=http://pbs.twimg.com/profile_images/954667915705495552/QLA1d4yN_normal.jpg, profile_image_url_https=https://pbs.twimg.com/profile_images/954667915705495552/QLA1d4yN_normal.jpg, profile_banner_url=https://pbs.twimg.com/profile_banners/446897392/1534388919, default_profile=false, default_profile_image=false}",0
,false,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","{hashtags=[{text=job, indices=[98, 102]}, {text=HUL, indices=[103, 107]}], urls=[{url=https://t.co/eMtliXj472, expanded_url=https://twitter.com/i/web/status/1032578557032058881, display_url=twitter.com/i/web/status/1…, indices=[109, 132]}]}",0,0,,1.03257855703206E+018,1535020887035,true,"HUL is looking for FRESHERS/GRADUATES!
Give your career a great start with 90-second video pitch!
#job #HUL… https://t.co/eMtliXj472",0,1.03257855703206E+018,false,low,Thu Aug 23 10:41:27 +0000 2018,,false,en,,false,,"{id=3289600904, id_str=3289600904, name=Vyre, screen_name=VyreMe, location=null, url=https://vyre.co, description=Video Profiles, Interviews and Job Ads for Everyone. We blog at http://medium.com/vyre, translator_type=none, protected=false, verified=false, followers_count=659, friends_count=1429, listed_count=25, favourites_count=243, statuses_count=707, created_at=Fri Jul 24 08:57:26 +0000 2015, utc_offset=null, time_zone=null, geo_enabled=false, lang=en, contributors_enabled=false, is_translator=false, profile_background_color=000000, profile_background_image_url=http://abs.twimg.com/images/themes/theme1/bg.png, profile_background_image_url_https=https://abs.twimg.com/images/themes/theme1/bg.png, profile_background_tile=false, profile_link_color=7FDBB6, profile_sidebar_border_color=000000, profile_sidebar_fill_color=000000, profile_text_color=000000, profile_use_background_image=false, profile_image_url=http://pbs.twimg.com/profile_images/903973055554191360/Zv1Y5Ncl_normal.jpg, profile_image_url_https=https://pbs.twimg.com/profile_images/903973055554191360/Zv1Y5Ncl_normal.jpg, profile_banner_url=https://pbs.twimg.com/profile_banners/3289600904/1529921482, default_profile=false, default_profile_image=false}",0
,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","{hashtags=[{text=oceanplastic, indices=[27, 40]}], urls=[]}",0,0,,1.03257873668266E+018,1535020929867,false,RT @PaulPolman: Addressing #oceanplastic is a shared responsibility – all stakeholders in value chain must work together to find effective…,0,1.03257873668266E+018,,low,Thu Aug 23 10:42:09 +0000 2018,,false,en,,false,,"{id=745331511990362100, id_str=745331511990362112, name=Valentina Marano, screen_name=VMaranoBoston, location=Boston and Rome, url=http://www.damore-mckim.northeastern.edu/faculty/m/marano-valentina, description=Assistant prof of #internationalbusiness at Northeastern U., doing research on #CSR and #multinationalcorporations., translator_type=none, protected=false, verified=false, followers_count=135, friends_count=266, listed_count=9, favourites_count=152, statuses_count=314, created_at=Tue Jun 21 19:04:14 +0000 2016, utc_offset=null, time_zone=null, geo_enabled=false, lang=en, contributors_enabled=false, is_translator=false, profile_background_color=000000, profile_background_image_url=http://abs.twimg.com/images/themes/theme1/bg.png, profile_background_image_url_https=https://abs.twimg.com/images/themes/theme1/bg.png, profile_background_tile=false, profile_link_color=1B95E0, profile_sidebar_border_color=000000, profile_sidebar_fill_color=000000, profile_text_color=000000, profile_use_background_image=false, profile_image_url=http://pbs.twimg.com/profile_images/745340121122217984/uu3aLc_8_normal.jpg, profile_image_url_https=https://pbs.twimg.com/profile_images/745340121122217984/uu3aLc_8_normal.jpg, profile_banner_url=https://pbs.twimg.com/profile_banners/745331511990362112/1466713285, default_profile=false, default_profile_image=false}",0
,false,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","{hashtags=[], urls=[]}",0,0,,1.03257882835339E+018,1535020951723,false,@henkwestbroek @WBrouer UNILEVER... MARK TUTTE... GET IT?,0,1.03257882835339E+018,,low,Thu Aug 23 10:42:31 +0000 2018,,false,en,henkwestbroek,false,133249609,"{id=2832240406, id_str=2832240406, name=@bomgordelkabinet Gab.ai, screen_name=ohzitdatzo, location=null, url=null, description=Alleen als je liefde brengt, ben je welkom          quote Ainique      we worden langzaam uitgevaagd, sarcasme met een woedende traan, translator_type=none, protected=false, verified=false, followers_count=3409, friends_count=4993, listed_count=178, favourites_count=14275, statuses_count=145901, created_at=Wed Oct 15 17:26:54 +0000 2014, utc_offset=null, time_zone=null, geo_enabled=false, lang=nl, contributors_enabled=false, is_translator=false, profile_background_color=000000, profile_background_image_url=http://abs.twimg.com/images/themes/theme1/bg.png, profile_background_image_url_https=https://abs.twimg.com/images/themes/theme1/bg.png, profile_background_tile=false, profile_link_color=E81C4F, profile_sidebar_border_color=000000, profile_sidebar_fill_color=000000, profile_text_color=000000, profile_use_background_image=false, profile_image_url=http://pbs.twimg.com/profile_images/955776809659981824/GD1GUhRc_normal.jpg, profile_image_url_https=https://pbs.twimg.com/profile_images/955776809659981824/GD1GUhRc_normal.jpg, profile_banner_url=https://pbs.twimg.com/profile_banners/2832240406/1510330827, default_profile=false, default_profile_image=false}",0
,false,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","{hashtags=[], urls=[{url=https://t.co/fSgK83TOgE, expanded_url=https://twitter.com/i/web/status/1032582523547570177, display_url=twitter.com/i/web/status/1…, indices=[116, 139]}]}",0,0,,1.03258252354757E+018,1535021832726,true,"Global animal fat market analysis for 2018 made available by top research firm: Growth by Top Companies: ABF, ADM,… https://t.co/fSgK83TOgE",0,1.03258252354757E+018,false,low,Thu Aug 23 10:57:12 +0000 2018,,false,en,,false,,"{id=3118827054, id_str=3118827054, name=XmarketReports, screen_name=XmarketReports, location=null, url=null, description=null, translator_type=none, protected=false, verified=false, followers_count=186, friends_count=34, listed_count=16, favourites_count=0, statuses_count=48515, created_at=Tue Mar 31 01:11:29 +0000 2015, utc_offset=null, time_zone=null, geo_enabled=false, lang=en, contributors_enabled=false, is_translator=false, profile_background_color=CCCCCC, profile_background_image_url=http://abs.twimg.com/images/themes/theme2/bg.gif, profile_background_image_url_https=https://abs.twimg.com/images/themes/theme2/bg.gif, profile_background_tile=false, profile_link_color=ABB8C2, profile_sidebar_border_color=C0DEED, profile_sidebar_fill_color=DDEEF6, profile_text_color=333333, profile_use_background_image=false, profile_image_url=http://pbs.twimg.com/profile_images/582713968885534720/loFxonTR_normal.png, profile_image_url_https=https://pbs.twimg.com/profile_images/582713968885534720/loFxonTR_normal.png, profile_banner_url=null, default_profile=false, default_profile_image=false}",0
,false,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","{hashtags=[], urls=[{url=https://t.co/iu8ArczfMj, expanded_url=https://ift.tt/2Mukxhl, display_url=ift.tt/2Mukxhl, indices=[75, 98]}]}",0,0,,1.03259511204661E+018,1535024834058,false,"From Merc to Unilever, India Inc takes advantage of demand to raise prices https://t.co/iu8ArczfMj",0,1.03259511204661E+018,false,low,Thu Aug 23 11:47:14 +0000 2018,,false,en,,false,,"{id=854913503672451100, id_str=854913503672451073, name=Gander Economic & Political News, screen_name=Social_Media_et, location=null, url=http://Gander.News, description=Visit https://Gander.News - with more than a million followers bringing you verified economic & political news from the major press organisations, translator_type=none, protected=false, verified=false, followers_count=2895, friends_count=3059, listed_count=14, favourites_count=0, statuses_count=2255, created_at=Thu Apr 20 04:23:57 +0000 2017, utc_offset=null, time_zone=null, geo_enabled=false, lang=en, contributors_enabled=false, is_translator=false, profile_background_color=F5F8FA, profile_background_image_url=, profile_background_image_url_https=, profile_background_tile=false, profile_link_color=1DA1F2, profile_sidebar_border_color=C0DEED, profile_sidebar_fill_color=DDEEF6, profile_text_color=333333, profile_use_background_image=true, profile_image_url=http://pbs.twimg.com/profile_images/1026271685110988800/ri7hEwZ6_normal.jpg, profile_image_url_https=https://pbs.twimg.com/profile_images/1026271685110988800/ri7hEwZ6_normal.jpg, profile_banner_url=https://pbs.twimg.com/profile_banners/854913503672451073/1533517172, default_profile=true, default_profile_image=false}",0
,false,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","{hashtags=[], urls=[]}",0,0,,1.03257672230939E+018,1535020449603,false,@SMeprog @TheWorldsLesson @Unilever @UNICEFEducation @UNICEFKenya We will be in touch cc @WambuiLola,0,1.03257672230939E+018,,low,Thu Aug 23 10:34:09 +0000 2018,"{id=e42ed02b50d62e29, url=https://api.twitter.com/1.1/geo/id/e42ed02b50d62e29.json, place_type=city, name=Oslo, full_name=Oslo, Norway, country_code=NO, country=Norway, bounding_box={type=Polygon, coordinates=[[[10.491468, 59.80978], [10.491468, 60.135033], [10.951584, 60.135033], [10.951584, 59.80978]]]}}",false,en,SMeprog,false,9.25278482611007E+017,"{id=703236034679676900, id_str=703236034679676929, name=I AM THE CODE*, screen_name=i_amthecode, location=GLOBAL, url=http://www.iamthecode.org, description=First African-led Global movement to mobilise Gov- Business & Foundations to advance #STEAMD education by enabling 1M women & girls coders by 2030 @YGLvoices, translator_type=none, protected=false, verified=false, followers_count=2851, friends_count=652, listed_count=120, favourites_count=2844, statuses_count=4171, created_at=Fri Feb 26 15:11:50 +0000 2016, utc_offset=null, time_zone=null, geo_enabled=true, lang=en, contributors_enabled=false, is_translator=false, profile_background_color=000000, profile_background_image_url=http://abs.twimg.com/images/themes/theme1/bg.png, profile_background_image_url_https=https://abs.twimg.com/images/themes/theme1/bg.png, profile_background_tile=false, profile_link_color=154360, profile_sidebar_border_color=000000, profile_sidebar_fill_color=000000, profile_text_color=000000, profile_use_background_image=false, profile_image_url=http://pbs.twimg.com/profile_images/708738010838376448/j8jlLQ5X_normal.jpg, profile_image_url_https=https://pbs.twimg.com/profile_images/708738010838376448/j8jlLQ5X_normal.jpg, profile_banner_url=https://pbs.twimg.com/profile_banners/703236034679676929/1528393941, default_profile=false, default_profile_image=false}",0
,false,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","{hashtags=[], urls=[]}",0,0,,1.0325768991411E+018,1535020491763,false,RT @AnjaliMenonFilm: @HUL_News @itz_vb @DettolIndia Wonderful! Thank you so much @HUL_News You are making a difference.,0,1.0325768991411E+018,,low,Thu Aug 23 10:34:51 +0000 2018,,false,en,,false,,"{id=146724034, id_str=146724034, name=Vibin Varghese, screen_name=itz_vb, location=Kerala, India, url=null, description=Skeptic, DB2 Z Enthusiast, Infoscion, Foodie, Techno Buff, Sports Geek., translator_type=none, protected=false, verified=false, followers_count=104, friends_count=370, listed_count=6, favourites_count=652, statuses_count=1043, created_at=Sat May 22 05:06:32 +0000 2010, utc_offset=null, time_zone=null, geo_enabled=false, lang=en, contributors_enabled=false, is_translator=false, profile_background_color=000000, profile_background_image_url=http://abs.twimg.com/images/themes/theme1/bg.png, profile_background_image_url_https=https://abs.twimg.com/images/themes/theme1/bg.png, profile_background_tile=false, profile_link_color=3B94D9, profile_sidebar_border_color=000000, profile_sidebar_fill_color=000000, profile_text_color=000000, profile_use_background_image=false, profile_image_url=http://pbs.twimg.com/profile_images/800592935251156992/vVbVpJGs_normal.jpg, profile_image_url_https=https://pbs.twimg.com/profile_images/800592935251156992/vVbVpJGs_normal.jpg, profile_banner_url=https://pbs.twimg.com/profile_banners/146724034/1431849298, default_profile=false, default_profile_image=false}",0
,false,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","{hashtags=[{text=Unilever, indices=[0, 9]}, {text=Director, indices=[29, 38]}, {text=global, indices=[44, 51]}, {text=role, indices=[63, 68]}], urls=[{url=https://t.co/bIA8PSqIs1, expanded_url=https://goo.gl/WSzHk4, display_url=goo.gl/WSzHk4, indices=[69, 92]}]}",0,0,,1.03258676149771E+018,1535022843132,false,#Unilever lures in Coca Cola #Director with #global e-commerce #role https://t.co/bIA8PSqIs1  @globalcosmetics,0,1.03258676149771E+018,false,low,Thu Aug 23 11:14:03 +0000 2018,,false,en,,false,,"{id=2842633012, id_str=2842633012, name=Global Cosmetics News, screen_name=globalcosmetics, location=Global, url=https://globalcosmeticsnews.com/, description=daily news -  global cosmetics industry, translator_type=none, protected=false, verified=false, followers_count=1287, friends_count=1588, listed_count=179, favourites_count=1513, statuses_count=21078, created_at=Fri Oct 24 14:25:10 +0000 2014, utc_offset=null, time_zone=null, geo_enabled=false, lang=en, contributors_enabled=false, is_translator=false, profile_background_color=C0DEED, profile_background_image_url=http://abs.twimg.com/images/themes/theme1/bg.png, profile_background_image_url_https=https://abs.twimg.com/images/themes/theme1/bg.png, profile_background_tile=false, profile_link_color=1DA1F2, profile_sidebar_border_color=C0DEED, profile_sidebar_fill_color=DDEEF6, profile_text_color=333333, profile_use_background_image=true, profile_image_url=http://pbs.twimg.com/profile_images/638326950549921792/kZR6Y8vw_normal.jpg, profile_image_url_https=https://pbs.twimg.com/profile_images/638326950549921792/kZR6Y8vw_normal.jpg, profile_banner_url=https://pbs.twimg.com/profile_banners/2842633012/1424190743, default_profile=true, default_profile_image=false}",0
,false,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","{hashtags=[], urls=[{url=https://t.co/7WARL1YqH0, expanded_url=http://bit.ly/2Mrif2q, display_url=bit.ly/2Mrif2q, indices=[73, 96]}]}",0,0,,1.0325996112973E+018,1535025906763,false,Tanzania:Unilever Invests Over U.S.$43 Million in Tanzania in Four Years https://t.co/7WARL1YqH0,0,1.0325996112973E+018,false,low,Thu Aug 23 12:05:06 +0000 2018,,false,en,,false,,"{id=3129127529, id_str=3129127529, name=SUCCESS CODE, screen_name=successcodeblog, location=Africa, url=http://fb.com/successcodeblog, description=Official Twitter of http://Successcodeblog.com. Programming you to big achievements., translator_type=none, protected=false, verified=false, followers_count=15244, friends_count=6928, listed_count=79, favourites_count=7736, statuses_count=21487, created_at=Mon Mar 30 14:30:10 +0000 2015, utc_offset=null, time_zone=null, geo_enabled=false, lang=en, contributors_enabled=false, is_translator=false, profile_background_color=131516, profile_background_image_url=http://abs.twimg.com/images/themes/theme14/bg.gif, profile_background_image_url_https=https://abs.twimg.com/images/themes/theme14/bg.gif, profile_background_tile=true, profile_link_color=009999, profile_sidebar_border_color=EEEEEE, profile_sidebar_fill_color=EFEFEF, profile_text_color=333333, profile_use_background_image=true, profile_image_url=http://pbs.twimg.com/profile_images/790677927142821888/z7DZ7srS_normal.jpg, profile_image_url_https=https://pbs.twimg.com/profile_images/790677927142821888/z7DZ7srS_normal.jpg, profile_banner_url=https://pbs.twimg.com/profile_banners/3129127529/1516482110, default_profile=false, default_profile_image=false}",0
