tweetid,text,originaltext,sentiment,sentimentposscore,sentimentnegscore,sentimentneuscore,sentimentmixedscore
1.03260571110735E+018,"Ended up into the @Unilever financials this morning (long story), found this interesting:  Our Sustainable Living b… https://t.co/GhZr4E5q9o",,NEUTRAL,0.317,0.001,0.677,0.006
1.03259071722126E+018,RT @263Chat: New #263Chat Article: Unilever Responds To Typhoid Outbreak In Gweru https://t.co/K1ot5trsGS #Twimbos #Zimbabwe,,NEUTRAL,0.006,0.002,0.991,0.002
1.03259077665036E+018,"Launched in 1952, Lakmé is India’s first home-grown brand to introduce cosmetics to Indian women #ThrowbackThursday https://t.co/oDDjbCGLDA",,NEUTRAL,0.001,0,0.998,0
1.03259079891791E+018,"یہ ہالینڈ کی کمپنیوں کی لسٹ ہے اس کو جتنا ہوسکتا ہے آگے شیئر کریں
1- Shell
2- Philps
3- Unilever

ClosUp
Dov
Knor
l… https://t.co/CebsP3cL0v",,NEUTRAL,0.011,0.019,0.967,0.003
1.03259085808701E+018,Unilever wowed visitors at The Big Bang North West 2018 with innovative activities &amp; a sensational new stand! Our D… https://t.co/PvVUPW1FnJ,,NEUTRAL,0.499,0,0.5,0
1.03258773881248E+018,"ہالینڈ کی کمپینیوں کا باٸیکاٹ کیجیۓ۔
1Shell Petroleum 
2 Phillips
3 Unilever
UnileverProductsInPakistan
1CloseUp
2… https://t.co/YBPBATineU",,NEUTRAL,0.012,0.008,0.978,0.002
1.03258936193263E+018,New #263Chat Article: https://t.co/rx50sSUQ39,,NEUTRAL,0.006,0.001,0.992,0.001
1.03258252354757E+018,"Global animal fat market analysis for 2018 made available by top research firm: Growth by Top Companies: ABF, ADM,… https://t.co/fSgK83TOgE",,NEUTRAL,0.001,0.001,0.998,0
1.0325925966721E+018,RT @PaulPolman: Addressing #oceanplastic is a shared responsibility – all stakeholders in value chain must work together to find effective…,,NEUTRAL,0.049,0.001,0.949,0.001
1.03260139593608E+018,"From Merc to Unilever, India Inc takes advantage of demand to raise prices https://t.co/vCsA4Pn1Wk",,NEUTRAL,0.006,0.001,0.992,0.001
1.03260193620438E+018,Forte Capital Holds Holding in Unilever Plc $UL; Arlington Value Capital Decreased Its Stake in Interactive Brokers… https://t.co/FUnze4v5Ts,,NEUTRAL,0.004,0,0.996,0
1.03257855703206E+018,"HUL is looking for FRESHERS/GRADUATES!
Give your career a great start with 90-second video pitch!
#job #HUL… https://t.co/eMtliXj472",,NEUTRAL,0.217,0,0.782,0.001
1.03257873668266E+018,RT @PaulPolman: Addressing #oceanplastic is a shared responsibility – all stakeholders in value chain must work together to find effective…,,NEUTRAL,0.049,0.001,0.949,0.001
1.03257882835339E+018,@henkwestbroek @WBrouer UNILEVER... MARK TUTTE... GET IT?,,NEUTRAL,0.016,0.025,0.955,0.004
1.0325757373568E+018,Unilever wowed visitors at The Big Bang North West 2018 with innovative activities &amp; a sensational new stand! Our D… https://t.co/VKh5pw1PqM,,NEUTRAL,0.499,0,0.5,0
1.03257590429009E+018,"RT @CANJapan_org: #再エネ100シンポジウム　#Renewable100Japan
Panel Discussion: “Expansion of 100% Renewable Energy Commitments in Japan and the World…",,NEUTRAL,0.004,0,0.995,0
1.03257596017485E+018,@spartytalkback @markMGgeyer @TripleM_NRL Yep Lever and Kitchen later just Rexona. Now Streets which is all owned b… https://t.co/dzQTFwo8N0,,NEUTRAL,0.005,0.001,0.993,0.001
1.03259733990558E+018,@HUL_News @Stateofthings2 @relianceindltd @drreddys @CiplaNutrition @SunPharma_Live Eastern is already in the foref… https://t.co/yDwKPeC3wk,,NEUTRAL,0.004,0.005,0.991,0.001
1.03258832639675E+018,"844 million people around the world STILL don't have access to clean water.
 
We've partnered with @Diageo, @GapInc… https://t.co/V7N0L9SDAJ",,NEUTRAL,0.14,0.012,0.838,0.01
1.03259511204661E+018,"From Merc to Unilever, India Inc takes advantage of demand to raise prices https://t.co/iu8ArczfMj",,NEUTRAL,0.006,0.001,0.992,0.001
1.03259139932834E+018,"RT @barend_g: Also Unilever, independent halal trust  &amp; tiger Brands should also close down shop before elections just to send the message…",,NEUTRAL,0.002,0,0.998,0
1.03257960654358E+018,"RT @TheWorldsLesson: .@i_amtheCODE continues to empower the next generation of girls in the digital world, this time in Nairobi. 80+ girls…",,NEUTRAL,0.037,0.001,0.961,0.001
1.03258975384421E+018,"RT @anuraag_saxena: How often has @indiatimes used a barechested image of a Unilever/P&amp;G CEO while reporting on their tax-matters? 
https:/…",,NEUTRAL,0,0.012,0.986,0.001
1.03258998124254E+018,Unilever Responds To Typhoid Outbreak In Gweru https://t.co/WeYDw1xdv0 #263Chat #Twimbos #Zimbabwe,,NEUTRAL,0.022,0.003,0.973,0.003
1.03258999716839E+018,"844 million people don't have access to clean water. 

We've partnered with @Diageo_News @GapInc and @Unilever to c… https://t.co/LTpeCL0YKz",,NEUTRAL,0.305,0.017,0.662,0.016
